,Unnamed: 0,tweet,created_at (after trading hours),Same day stock closing price,Next day stock open price,Daily change,polarity
0,0,"['it', 'excite', 'day', 'welcome', 'potus', 'factory', 'zero', 'we', 'thrill', 'experience', 'gmc', 'hummer', 'ev', 'pickup', 'importantly', 'meet', 'outstanding', 'manufacture', 'team', 'heart', 'operation']",2021-11-17 23:37:07+00:00,64.61,64.33,-0.43%,0.5666666666666668
1,1,"['wish', 'randy', 'mott', 'wonderful', 'retirement', 'congratulation', 'fred', 'killeen', 'stacy', 'lynett', 'new', 'role', 'restructure', 'global', 'it', 'teams']",2021-11-10 17:05:15+00:00,59.27,59.82,0.93%,0.37878787878787873
2,2,"['congratulation', 'commercegov', 'secraimondo', 'new', 'chair', 'uspto', 'council', 'inclusive', 'innovation', 'ci2', 'i', 'look', 'forward', 'work', 'together', 'drive', 'equality', 'world', 'innovation', 'invention', 'expand', 'stem', 'opportunity']",2021-10-28 20:04:51+00:00,54.24,53.9,-0.63%,0.13636363636363635
3,3,"['congratulation', 'gm', 'deborahwahl', 'name', 'one', 'world', 'mostinfluentialcmos', 'forbes', 'thank', 'help', 'u', 'bring', 'everybodyin']",2021-09-30 17:12:19+00:00,52.71,53.03,0.61%,0.0
4,4,"['great', 'discussion', 'alansmurray', 'gm', 'bold', 'ambition', 'lead', 'industry', 'electric', 'future', 'this', 'exciting', 'time', 'industry', 'i', 'appreciate', 'workdayevents', 'wdayconversations']",2021-09-28 23:11:23+00:00,52.85,53.3,0.85%,0.35833333333333334
5,5,"['it', 'important', 'invest', 'amp', 'implement', 'solution', 'community', 'live', 'work', 'ensure', 'leave', 'anyone', 'behind', 'i', 'speak', 'hometown', 'mayormikeduggan', '50m', 'investment', 'nonprofit', 'program', 'help', 'detroiters', 'work', 'amp', 'thrive']",2021-09-14 18:41:35+00:00,50.74,50.79,0.10%,0.04545454545454545
6,6,"['davidwestin', 'thanks', 'spending', 'time', 'hometown', 'headquarters', 'it', 'great', 'discuss', 'transform', 'industry', 'ev', 'av', 'expand', 'software', 'strategy', 'proud', 'i', 'talented', 'gm', 'team']",2021-08-26 19:35:00+00:00,48.62,48.75,0.27%,0.625
7,7,"['thanks', 'today', 'lebeaucarnews', 'discuss', 'gm', 'record', 'result', 'q2', 'strong', 'first', 'half', 'year', 'i', 'look', 'forward', 'share', 'excite', 'ev', 'product', 'portfolio', 'coming', 'month']",2021-08-04 19:38:06+00:00,52.72,53.86,2.16%,0.17916666666666667
8,8,"['evs', 'gina', 'we', 'love', 'ride', 'at', 'gm', 'want', 'bring', 'everybodyin', 'electric', 'future', 'include', 'create', 'evs', 'affordable', 'stylish', 'especially', 'fun', 'drive', 'the', 'bipartisan', 'infrastructure', 'plan', 'important', 'part', 'create', 'future']",2021-07-01 16:35:36+00:00,59.11,59.11,0.00%,0.3333333333333333
9,9,"['i', 'excite', 'future', 'one', 'bring', 'everybodyin', 'gm', 'company', 'big', 'thing', 'investment', 'help', 'create', 'inclusive', 'sustainable', 'world', 'want', 'deserve']",2021-06-29 23:50:18+00:00,58.83,58.74,-0.15%,0.0
10,10,"['this', 'honor', 'achieve', 'without', 'hard', 'work', 'every', 'gm', 'employee', 'success', 'team', 'effort', 'i', 'appreciate', 'impact', 'able', 'make', 'work', 'together', 'oneteam']",2021-06-16 16:24:56+00:00,61.76,61.82,0.10%,0.16944444444444443
11,11,"['djowink', 'gm', 'congrats', '4', 'generation', 'gm', 'thanks', 'dedication', 'great', 'work', 'gm', 'defiance', 'iworkforg']",2021-06-09 17:07:14+00:00,62.77,62.83,0.10%,0.5
12,12,"['the', 'bizroundtable', 'movetheneedle', 'ceo', 'challenge', 'show', 'business', 'leader', 'part', 'encourage', 'employee', 'get', 'vaccinate', 'i', 'nominate', 'ed', 'bastian', 'ceo', 'delta', 'i', 'challenge', 'jim', 'loree', 'share', 'stanleyblkdeckr', 'help', 'move', 'needle']",2021-05-27 18:42:58+00:00,59.77,59.88,0.18%,0.0
13,13,"['our', 'cadillac', 'lyriq', 'represent', 'next', 'generation', 'gm', 'stun', 'electric', 'vehicle', 'quality', 'safety', 'excellence', 'forefront', 'thank', 'talented', 'team', 'work', 'hard', 'bring', 'vision', 'life']",2021-05-06 18:48:25+00:00,58.72,58.0,-1.23%,0.1361111111111111
14,14,"['senstabenow', 'senatorcarper', 'royblunt', 'repdankildee', 'jimfitterling', 'senstabenow', 'you', 'inspiration', 'many', 'congratulation', 'achievement', 'thank']",2021-04-21 19:37:38+00:00,57.49,57.54,0.09%,0.5
15,15,"['the', 'past', 'several', 'week', 'painful', 'poignant', 'reminder', 'need', 'support', 'reform', 'condemn', 'injustice', 'our', 'thought', 'floyd', 'family', 'verdict', 'replace', 'loss']",2021-04-20 21:35:38+00:00,55.77,55.28,-0.88%,-0.2375
16,16,"['we', 'commit', 'move', 'fast', 'electric', 'vehicle', 'mean', 'congrats', 'chevrolet', 'team', 'create', 'fully', 'electric', 'pickup', 'truck', 'ground', 'surprise', 'delight', 'new', 'current', 'customer', 'this', 'future', 'look', 'like']",2021-04-06 16:46:08+00:00,61.94,61.86,-0.13%,0.004772727272727273
17,17,"['proud', 'add', 'gmchummerev', 'suv', 'quickly', 'grow', 'ev', 'lineup', 'with', 'revolutionary', 'addition', 'one', 'step', 'closer', 'introduce', '30', 'ev', 'globally', '2025', 'allelectricfuture']",2021-04-05 20:46:12+00:00,61.04,60.5,-0.88%,0.37777777777777777
18,18,"['congratulation', 'historic', 'class', 'female', 'eagle', 'scout', 'become', 'eagle', 'scout', 'incredible', 'amount', 'hard', 'work', 'hard', 'work', 'distinguish', 'guide', 'throughout', 'life']",2021-03-03 18:37:00+00:00,52.67,52.99,0.61%,0.06333333333333334
19,19,"['today', 'gm', 'announce', 'strong', 'financial', 'performance', 'q4', 'full', 'year', '2020', 'due', 'stay', 'true', 'value', 'purpose', 'difficult', 'year', 'we', 'talent', 'tech', 'profitability', 'lead', 'continue', 'month', 'ahead']",2021-02-10 16:45:58+00:00,54.88,53.61,-2.31%,0.08472222222222221
20,20,"['gm', 'norway', 'set', 'bar', 'high', 'electric', 'vehicle', 'adoption', 'we', 'ready', 'bring', 'everybodyin', 'allelectricfuture']",2021-02-03 20:58:32+00:00,54.25,53.34,-1.68%,0.18
21,21,"['today', 'congratulate', 'joebiden', 'kamalaharris', 'new', 'administration', 'at', 'gm', 'look', 'forward', 'work', 'together', 'issue', 'unite', 'u', 'a', 'nation', 'stronger', 'together', 'inauguration202']",2021-01-20 17:04:55+00:00,55.86,56.33,0.84%,0.13636363636363635
22,22,"['satyanadella', 'cruise', 'gm', 'satyanadella', 'glad', 'entire', 'microsoft', 'team', 'join', 'gm', 'cruise', 'journey', 'toward', 'electric', 'self', 'driving', 'future']",2021-01-19 17:58:32+00:00,54.84,56.23,2.53%,0.16666666666666666
