,tweet,date,Same day stock closing price,Next day stock open price,Daily change
0,"['gamespot', 'with', 'cyberpunk', 'even', 'hotfixes', 'literally', 'hotfixes', 'great', 'game', 'http', 'co', 'a6kmk0pegm', 'documentingbtc', 'the', 'dollar', 'short', 'westcoastbill', 'indeed', 'johnnacrider1', 'iupsychdoctor', 'aoc', 'robinhoodapp', 'shopify', 'great', 'spacex', 'use', 'ohqwix', 'bnnj6bcghvzqxlb', 'wimgrommen', 'wsbchairman', 'indeed', 'the', 'economy', 'make', 'useful', 'product', 'amp', 'provide', 'great', 'service', 'actually', 'matter', 'iupsychdoctor', 'aoc', 'robinhoodapp', 'tanstaafl', 'would', 'better', 'small', 'fee', 'fee', 'latter', 'make', 'robinhood', 'beholden', 'big', 'trading', 'house', 'get', 'pay', 'bill', 'somehow', 'even', 'etsy', 'fee', 'here', 'come', 'shorty', 'apologist', 'give', 'respect', 'get', 'shorty']",2021-01-28,835.43,830.0,-0.65%
1,"['it', 'fill', 'graffiti', 'art', 'eiraum', 'giga', 'berlin', 'progress', 'http', 'co', 'ekpg5qcbui', 'hamoon', 'neuralink', 'neuralink', 'work', 'super', 'hard', 'ensure', 'implant', 'safety', 'amp', 'close', 'communication', 'fda', 'if', 'thing', 'go', 'well', 'might', 'able', 'initial', 'human', 'trial', 'later', 'year']",2021-02-01,839.81,844.68,0.58%
2,"['brendan2908', 'nasaspaceflight', 'yes', 'mikko', 'darudevil', 'it', 'true', 'josh', 'bickett', 'ajtourville', 'erdayastronaut', 'spacex', 'yeah', 'by', 'default', 'engine', 'least', 'lever', 'arm', 'would', 'shut', '3', 'good', 'ajtourville', 'erdayastronaut', 'spacex', 'yes', 'engine', 'min', 'throttle', 'point', 'flameout', 'risk', 'land', '3', 'engine', 'mean', 'high', 'thrust', 'weight', 'away', 'hover', 'point', 'also', 'risky', 'adamklotz', 'erdayastronaut', 'spacex', 'yes', 'erdayastronaut', 'spacex', 'it', 'foolish', 'u', 'start', '3', 'engine', 'amp', 'immediately', 'shut', '1', '2', 'need', 'land']",2021-02-04,849.99,845.0,-0.59%
3,"['the', 'entertaining', 'outcome', 'likely', 'givedirectly', 'just', 'send', 'just', 'agree', 'clubhouse', 'kanyewest', 'http', 'co', '3rwe9uhsts', 'geoffkeighley', 'unrealengine', 'it', 'get', 'real']",2021-02-10,804.82,812.44,0.95%
4,"['joerogan', 'spotify', 'great', 'interview', 'gtera27', 'doge', 'underestimate', 'teslacn', 'congratulation', 'tesla', 'china', 'amazing', 'execution', 'last', 'year', 'now', 'next', 'even', 'happy', 'new', 'year', 'ox', 'https', 'co', '9wfkmyu2oj']",2021-02-11,811.66,801.26,-1.28%
5,"['tesla', 'cover', 'snow', 'amp', 'ice', 'road', 'mostly', 'close', 'amp', 'power', 'austin', 'cz', 'binance', 'mansourshahrokh', 'there', 'definitely', 'marscoin', 'itsallrisky', 'sound', 'like']",2021-02-16,796.22,779.09,-2.15%
6,"['teslarati', 'spacex', 'south', 'texas', 'amp', 'tesla', 'central', 'provide', 'direct', 'assistance', 'feasible', 'eg', 'save', 'cold', 'turtle', 'amp', 'help', 'power', 'water', 'treatment', 'plant', 'please', 'let', 'u', 'know', 'may', 'helpful', 'way']",2021-02-18,787.38,795.0,0.97%
7,"['jgrano305', 'austinteslaclub', 'we', 'much', 'product', 'complexity', 'already', 'techamazing', 'univercurious', 'tunnel', 'jantiewillie', 'adamklotz', 'austinteslaclub', 'hopefully', 'later', 'year', 'adamklotz', 'austinteslaclub', 'late', 'year', 'jgrano305', 'austinteslaclub', 'it', 'still', 'available', 'menu', 'i', 'think', 'range', 'many', 'drive', 'condition', 'yet', 'meet', 'tesla', 'standard', 'excellence', 'austinteslaclub', 'the', 'tesla', 'solar', 'roof', 'slightly', 'hydrophobic', 'water', 'snow', 'ice', 'slide', 'easily']",2021-02-22,714.5,662.13,-7.33%
8,"['jeff', 'foust', 'rocket', 'ridiculously', 'hard', 'sigh']",2021-02-24,742.02,726.15,-2.14%
9,"['http', 'co', 'bbwntndvoi', 'chicago', 'glenn', 'rationaletienne', 'skorusark', 'we', 'use', 'catapult', 'amp', 'air', 'mattress', 'land', 'roof', 'base', 'jump', 'rationaletienne', 'skorusark', 'nickel', 'big', 'concern', 'scale', 'lithium', 'ion', 'cell', 'production', 'that', 'shift', 'standard', 'range', 'car', 'iron', 'cathode', 'plenty', 'iron', 'lithium', 'harsimranbansal', 'skorusark', 'absolutely', 'memesofmars', 'skorusark', 'fremont', 'shut', 'two', 'day', 'part', 'shortage', 'amp', 'restart', 'yesterday', 'skorusark', 'this', 'win', 'anyone', 'we', 'production', 'limit', 'the', 'reason', 'make', 'cell', 'supplement', 'max', 'production', 'supplier', 'even', 'move', 'full', 'speed', 'can', 'not', 'build', 'enough', 'cell', 'rationaletienne', 'i', 'hope', 'it', 'would', 'awesome', 'rjdlandscapes', 'tesla', 'price', 'u', 'good', 'include', 'vat', 'usually', 'include', 'country', 'then', 'import', 'duty', 'amp', 'transport', 'cost', 'the', 'intent', 'revenue', 'tesla', 'roughly', 'similar', 'country', 'tax', 'tariff', 'amp', 'transport', 'make', 'difference']",2021-02-25,682.22,700.0,2.61%
